ZIP_Code,zip5_HH,HO_ins,Veh_ins,health_ins,pl_pension,life_ins,end_ann,vac_home,airline,funeral,hoeql_int,mortg_int
50078,71,428.4,1125.2,2637.9,6788.5,382.3,359.4,331.8,440.3,82.3,54.9,3599.5
50101,29,408.6,1089,2570.2,6123.9,356.3,334.9,301.2,396.8,86.6,48.5,3127
50103,194,403.8,1077.7,2514.2,6282.2,357.6,336.2,306.9,408.9,80.9,50.2,3352.2
50104,55,398.8,1061.8,2517.7,5840.6,343.5,322.5,290.1,381.6,87.9,46.7,3018.7
50105,418,429.4,1138.5,2572.8,7700.3,393.4,369.5,343.3,484.7,66.1,64.8,4340.5
50106,509,409.3,1094.7,2550.5,6483.5,363.8,341.8,309.2,413.4,79.5,54.7,3577.8
50107,423,383,1053.8,2450.8,5858.6,336,315.7,277.8,373.1,78.9,48,3183
50108,245,382.7,1033.2,2447.4,5549.7,334.2,313.8,275.5,361.5,82.2,46.2,3171.5
50109,1147,447.2,1157.2,2608.8,8660.9,428.7,402.2,400.7,573.3,68.7,66.3,4606.9
50110,0,,,,,,,,,,,
50111,3683,429.5,1144.2,2506.4,8504,407.6,382.3,370.4,554.8,60,67.4,4782.4
50112,4526,372.7,1048.6,2415,6195,340.1,319.6,290.2,406.1,79.5,47.9,3156.5
50115,1070,392.5,1049,2500.3,5693.8,339.2,318.6,280.9,372.9,87,47.6,3170.5
50116,118,401.2,1074,2522.4,5931.3,347.9,327.1,283,371,78.4,51.7,3419.9
50117,111,421.6,1105.8,2593.5,6715,374,351.3,322.2,432.2,80.8,55.6,3707
50118,328,429.2,1123.7,2567,7229.2,385,361.5,336.5,459.6,73.2,60.9,4062.7
50119,218,413.1,1099.3,2556.2,6621.9,370.4,348.1,315.8,423.5,76.5,55.6,3632.5
50120,125,419.2,1105.8,2591.7,6652.4,372.2,349.6,319.1,425.8,80.6,55.7,3688.9
50122,557,403.2,1085,2533.7,6396.7,358,336.3,306.8,415,81.9,50,3320
50123,322,395.8,1048.2,2514.5,5477.7,337.5,317.1,273.9,354.2,86.4,47.9,3211.6
50124,1422,432,1150.2,2555.5,8709.1,420.4,394.3,394.4,573.8,67.3,64.4,4439.1
50125,7404,404.8,1100.3,2516.9,7183.2,377.4,354.3,333.6,465,74.8,57.3,3832.1
50126,2949,375.5,1045.6,2434.6,5767.7,331.6,311.6,274.5,367.5,80.9,47.6,3078.2
50127,13,422.1,1107.3,2599.2,7001.9,386.1,362.6,341.7,460.3,81.2,55.3,3616.9
50128,151,435.6,1126.3,2653.8,7212.3,397.3,373.3,351.7,472.8,81.3,57.6,3847.5
50129,2248,394.9,1065.2,2499.1,6203.3,350.7,329.3,299.2,400.8,84.9,51.3,3342.3
50130,691,403.4,1091.9,2514.1,6894.4,369,346.6,319.1,447.4,73.5,56.8,3819.8
50131,7210,442.8,1162.3,2574.7,9452.3,441.5,413.9,425.1,664.4,66.4,66.3,4853.5
50132,120,400.8,1101.4,2543,6622.3,364.9,342.6,310.5,421.9,76.5,53.7,3502.8
50133,205,373.8,1037,2457.6,5471.7,329.3,310.1,267.8,348.4,82.5,45,2874.5
50134,222,416.9,1127.4,2530.4,7829.6,393.6,369.3,355.9,513.2,71.3,59.5,4067.7
50135,675,420.5,1111.8,2597,7005.8,384.4,361.3,338.3,456.4,79.1,56.4,3703.8
50136,171,409.4,1093.1,2564.5,6172.3,353.5,331.8,297.8,391.8,85.5,50.4,3198.9
50137,0,,,,,,,,,,,
50138,4818,381.8,1057.5,2434.7,6079.9,341.7,321,284,385,76.6,51.3,3375.6
50139,396,420.2,1104.4,2588.6,6657.4,374.7,351.9,319.3,425.4,78.1,56.8,3744.8
50140,837,340,992.8,2251.9,5247.6,302.9,284.4,242.6,335.6,75.5,43,2894.5
50141,204,411.3,1092.7,2557.3,6450.4,364.5,342.4,310.2,411.8,79.3,54.1,3608.1
50142,339,403.1,1096.9,2541,6525.8,362.8,340.9,304.1,409.9,75.5,56.4,3641.2
50143,224,416.5,1121.7,2609.5,6744.8,373.1,350.4,313.3,422.3,75.9,57.6,3714.9
50144,1026,360.6,1001,2354.8,5223.4,313.8,294.8,255.9,340.1,81.8,43.3,2982.7
50145,24,440.6,1151.1,2664.4,7594.3,403.6,379.2,354.8,479.9,74.6,63.5,4187.3
50146,253,441.5,1146.7,2654.5,7887.4,413.1,388.1,377.5,509.5,78.5,64,4028.8
50147,195,398.6,1055.9,2521.5,5637.4,341.9,321.3,280.3,364.6,85.4,48.7,3251.2
