ZIP_Code,zip5_pop,zip5_HH,pop_growth,hh_avg_size,hh_med_age,med_rent,med_value,med_vehicles,med_income,avg_income,percap_income,pop_med_age,income_200k,high_inc_avg
60031,37976,13925,0.86,2.72,50.5,997.29,260001,2.3,103808,117219,42839,38.5,16.52,281835
60033,13690,4670,-0.58,2.93,50.8,735.61,175109,2.4,60598,74338,25598,34.8,3.11,291116
60034,2113,812,-0.28,2.58,53.2,694.2,195542,2.5,68376,83587,32890,42.6,6.12,283900
60035,29350,11265,0.82,2.58,58.6,1368.12,539769,2.3,139854,187164,71216,47,32.22,377904
60037,0,0,,,,,,,,,,,,
60040,6541,2138,0.26,3.02,50.2,1176.84,406470,2,82100,108661,36439,35.1,11.63,278760
60041,9133,3350,1.09,2.73,49.9,872.83,181977,2.5,75184,88371,32679,37.5,6.12,270464
60042,8892,3278,-0.06,2.7,49.8,1066.01,193076,2.5,79420,87002,32262,37.5,4.51,248295
60043,2431,774,1.04,3.12,56.2,1321.58,1073937,2.6,243036,320865,102277,43.8,58.43,470641
60044,8594,3523,-0.11,2.4,53.5,1156.99,501227,2.4,127296,153697,62408,44.2,26.46,310692
60045,19519,6802,0.67,2.68,59,1345.63,829378,2.4,165867,233655,83355,46.6,42.34,426849
60046,36124,12693,0.46,2.83,50.8,997.29,231952,2.4,102358,113387,40008,38.4,12.19,298512
60047,40143,13312,1.29,2.98,52.8,1284.31,440762,2.6,143615,161774,54170,41.7,29.67,300474
60048,28576,10333,0.7,2.72,54.7,1126.98,440388,2.4,129788,158577,58271,43.7,28.62,329859
60050,31675,11842,-0.15,2.66,51.5,1038.45,200718,2.4,78889,93407,34949,38.2,7.24,311709
60051,24673,9182,-0.24,2.69,51.4,1133.44,221816,2.5,84209,96244,35897,39.7,7.4,274524
60053,22820,8475,1.07,2.68,58,917.26,314359,2.3,84313,101324,37998,46.7,9.1,315846
60056,60940,23527,0.87,2.58,53.5,963.29,279449,2.2,83877,99541,39412,42.7,9.82,277382
60060,38137,12961,1.17,2.93,51,1141.63,256538,2.5,96518,117722,40828,37.6,15.58,315707
60061,26627,9972,0.87,2.65,51.8,1388.87,334035,2.3,112406,133324,49426,40.2,20.32,269390
60062,40030,15748,1.46,2.5,60.4,1528.46,485255,2.3,114652,142889,56798,50.4,25.54,306689
60064,15615,4625,0.44,3.24,50.3,722.8,164008,2,53447,69236,22521,31.5,4.81,226826
60065,0,0,,,,,,,,,,,,
60067,37561,15271,0.96,2.44,51,1160.67,347726,2.3,107222,127195,51894,41.5,19.14,290441
60068,36233,13694,1.18,2.62,56.2,1148.43,409911,2.2,105025,125521,47737,45.7,17.77,297695
60069,9129,3566,0.57,2.53,62.3,1772.58,483474,2.2,132789,163783,64171,51.8,30.63,315470
60070,15761,6337,1.09,2.47,51.1,1080.72,233933,2.1,68455,88172,37212,42.1,6.61,271109
60071,3791,1475,0.87,2.55,53.1,795.97,253445,2.5,79980,101270,39782,43.1,6.79,415836
60072,919,310,-0.24,2.99,52.5,1220.02,294538,2.6,93074,105803,35484,40.9,13.06,239115
60073,56106,17422,0.84,3.21,46.6,956.69,162448,2.4,75012,87285,28241,31.9,5.71,312082
60074,38797,14412,1.39,2.69,47.5,1016.86,218439,2.3,79683,88844,33991,36.9,6.68,287793
60075,0,0,,,,,,,,,,,,
60076,34120,11676,1.01,2.88,55.8,918.61,301489,2.2,86884,108403,37581,43.5,12.27,306947
60077,27544,10847,0.68,2.52,56.8,991.56,267678,2,66218,86780,34896,44.5,7.87,311423
60078,0,0,,,,,,,,,,,,
60079,0,0,,,,,,,,,,,,
60081,9511,3382,0.07,2.8,53,946.18,258441,2.6,93572,101291,36400,41.6,10.14,252931
60083,8609,3044,0.23,2.83,53.6,1085.88,275818,2.5,109192,121612,42954,40.9,16.11,260239
60084,18273,6676,1.48,2.71,51.5,949.3,222612,2.3,88969,104136,38491,39.1,9.85,301120
60085,72032,22228,0.13,3.15,46.5,718.18,139117,2,51410,62633,21009,30.8,2.09,203410
60087,29101,9841,1.08,2.94,49.8,804.41,150499,2.2,68050,82298,28340,34.4,4.15,329792
60088,14631,1362,-0.5,2.75,29.3,1290.61,91621,2.1,58482,79233,26468,24.7,4.01,428197
60089,44106,17198,0.68,2.55,54.1,1292.42,324629,2.3,110905,132075,51030,43.7,18.23,299983
60090,36501,13814,1,2.61,50.8,996.48,213515,2.1,67423,83654,33093,39.6,5.73,282720
60091,25978,9378,0.89,2.76,57.3,1410.93,659557,2.3,151790,192311,69031,45.8,36.58,349152
60093,19802,7081,1.05,2.79,57.3,1261.11,807709,2.4,179394,234124,82961,45.8,45.56,396529
60095,0,0,,,,,,,,,,,,
60096,6375,2451,1.67,2.6,53.6,844.29,194958,2.4,83810,96291,36920,42.4,4.98,329013
60097,11562,4168,-0.12,2.78,50.3,819.06,180313,2.5,80615,86849,30811,38.1,4.53,229255
60098,32758,11892,-0.07,2.67,50.8,844.37,209216,2.3,73906,88011,33187,38.1,6.31,303802
60099,32819,11096,1.05,2.91,50.3,793.09,149652,2.2,65907,76663,26676,34.6,4.06,264906
60101,39771,13078,2.14,3.02,51.2,969.41,246045,2.3,72845,89602,30131,37.1,6.11,328975
60102,32520,11255,0.55,2.89,50.7,1172.61,251950,2.5,109466,123833,42600,39.1,15.29,285190
60103,41308,14211,1.51,2.91,50.1,1233.9,271552,2.5,108405,121860,41832,38.3,13.49,296573
